service_id,date,exception_type
•½“ú,20190321,2
•½“ú,20190429,2
•½“ú,20190430,2
•½“ú,20190501,2
•½“ú,20190502,2
•½“ú,20190503,2
•½“ú,20190504,2
•½“ú,20190505,2
•½“ú,20190506,2
•½“ú,20190715,2
•½“ú,20190811,2
•½“ú,20190812,2
•½“ú,20190916,2
•½“ú,20190923,2
•½“ú,20191014,2
•½“ú,20191022,2
•½“ú,20191103,2
•½“ú,20191104,2
•½“ú,20191123,2
•½“ú,20200101,2
•½“ú,20200113,2
•½“ú,20200211,2
•½“ú,20200320,2
“y‹x,20190321,1
“y‹x,20190429,1
“y‹x,20190430,1
“y‹x,20190501,1
“y‹x,20190502,1
“y‹x,20190503,1
“y‹x,20190504,1
“y‹x,20190505,1
“y‹x,20190506,1
“y‹x,20190715,1
“y‹x,20190811,1
“y‹x,20190812,1
“y‹x,20190916,1
“y‹x,20190923,1
“y‹x,20191014,1
“y‹x,20191022,1
“y‹x,20191103,1
“y‹x,20191104,1
“y‹x,20191123,1
“y‹x,20200101,1
“y‹x,20200113,1
“y‹x,20200211,1
“y‹x,20200320,1
