service_id,date,exception_type
平日,20190321,2
平日,20190429,2
平日,20190430,2
平日,20190501,2
平日,20190502,2
平日,20190503,2
平日,20190504,2
平日,20190505,2
平日,20190506,2
平日,20190715,2
平日,20190811,2
平日,20190812,2
平日,20190916,2
平日,20190923,2
平日,20191014,2
平日,20191022,2
平日,20191103,2
平日,20191104,2
平日,20191123,2
平日,20200101,2
平日,20200113,2
平日,20200211,2
平日,20200320,2
土休,20190321,1
土休,20190429,1
土休,20190430,1
土休,20190501,1
土休,20190502,1
土休,20190503,1
土休,20190504,1
土休,20190505,1
土休,20190506,1
土休,20190715,1
土休,20190811,1
土休,20190812,1
土休,20190916,1
土休,20190923,1
土休,20191014,1
土休,20191022,1
土休,20191103,1
土休,20191104,1
土休,20191123,1
土休,20200101,1
土休,20200113,1
土休,20200211,1
土休,20200320,1
