service_id,date,exception_type
•½“ú,20180101,2
•½“ú,20180108,2
•½“ú,20180211,2
•½“ú,20180212,2
•½“ú,20180321,2
•½“ú,20180429,2
•½“ú,20180430,2
•½“ú,20180503,2
•½“ú,20180504,2
•½“ú,20180505,2
•½“ú,20180716,2
•½“ú,20180811,2
•½“ú,20180917,2
•½“ú,20180923,2
•½“ú,20180924,2
•½“ú,20181008,2
•½“ú,20181103,2
•½“ú,20181123,2
•½“ú,20181223,2
•½“ú,20181224,2
•½“ú,20190101,2
•½“ú,20190114,2
•½“ú,20190211,2
•½“ú,20190321,2
•½“ú,20180715,2
“y‹x,20180101,1
“y‹x,20180108,1
“y‹x,20180211,1
“y‹x,20180212,1
“y‹x,20180321,1
“y‹x,20180429,1
“y‹x,20180430,1
“y‹x,20180503,1
“y‹x,20180504,1
“y‹x,20180505,1
“y‹x,20180716,1
“y‹x,20180811,1
“y‹x,20180917,1
“y‹x,20180923,1
“y‹x,20180924,1
“y‹x,20181008,1
“y‹x,20181103,1
“y‹x,20181123,1
“y‹x,20181223,1
“y‹x,20181224,1
“y‹x,20190101,1
“y‹x,20190114,1
“y‹x,20190211,1
“y‹x,20190321,1
“y‹x,20180715,2
’Ç‚¢ŽRŠ},20180101,2
’Ç‚¢ŽRŠ},20180108,2
’Ç‚¢ŽRŠ},20180211,2
’Ç‚¢ŽRŠ},20180212,2
’Ç‚¢ŽRŠ},20180321,2
’Ç‚¢ŽRŠ},20180429,2
’Ç‚¢ŽRŠ},20180430,2
’Ç‚¢ŽRŠ},20180503,2
’Ç‚¢ŽRŠ},20180504,2
’Ç‚¢ŽRŠ},20180505,2
’Ç‚¢ŽRŠ},20180716,2
’Ç‚¢ŽRŠ},20180811,2
’Ç‚¢ŽRŠ},20180917,2
’Ç‚¢ŽRŠ},20180923,2
’Ç‚¢ŽRŠ},20180924,2
’Ç‚¢ŽRŠ},20181008,2
’Ç‚¢ŽRŠ},20181103,2
’Ç‚¢ŽRŠ},20181123,2
’Ç‚¢ŽRŠ},20181223,2
’Ç‚¢ŽRŠ},20181224,2
’Ç‚¢ŽRŠ},20190101,2
’Ç‚¢ŽRŠ},20190114,2
’Ç‚¢ŽRŠ},20190211,2
’Ç‚¢ŽRŠ},20190321,2
’Ç‚¢ŽRŠ},20180715,1
