fare_id,route_id,origin_id,destination_id
Fare200yen_017200,空港線（福岡空港方面行き）,1_1,2_1
Fare200yen_017200,空港線（福岡空港方面行き）,1_1,3_1
Fare260yen_017200,空港線（福岡空港方面行き）,1_1,4_1
Fare260yen_017200,空港線（福岡空港方面行き）,1_1,5_1
Fare260yen_017200,空港線（福岡空港方面行き）,1_1,6_1
Fare260yen_017200,空港線（福岡空港方面行き）,1_1,7_1
Fare300yen_017200,空港線（福岡空港方面行き）,1_1,8_1
Fare300yen_017200,空港線（福岡空港方面行き）,1_1,9_3
Fare300yen_017200,空港線（福岡空港方面行き）,1_1,10_1
Fare300yen_017200,空港線（福岡空港方面行き）,1_1,11_1
Fare300yen_017200,空港線（福岡空港方面行き）,1_1,12_1
Fare330yen_017200,空港線（福岡空港方面行き）,1_1,13_1
Fare200yen_017200,空港線（福岡空港方面行き）,2_1,3_1
Fare200yen_017200,空港線（福岡空港方面行き）,2_1,4_1
Fare260yen_017200,空港線（福岡空港方面行き）,2_1,5_1
Fare260yen_017200,空港線（福岡空港方面行き）,2_1,6_1
Fare260yen_017200,空港線（福岡空港方面行き）,2_1,7_1
Fare260yen_017200,空港線（福岡空港方面行き）,2_1,8_1
Fare260yen_017200,空港線（福岡空港方面行き）,2_1,9_3
Fare300yen_017200,空港線（福岡空港方面行き）,2_1,10_1
Fare300yen_017200,空港線（福岡空港方面行き）,2_1,11_1
Fare300yen_017200,空港線（福岡空港方面行き）,2_1,12_1
Fare330yen_017200,空港線（福岡空港方面行き）,2_1,13_1
Fare200yen_017200,空港線（福岡空港方面行き）,3_1,4_1
Fare200yen_017200,空港線（福岡空港方面行き）,3_1,5_1
Fare260yen_017200,空港線（福岡空港方面行き）,3_1,6_1
Fare260yen_017200,空港線（福岡空港方面行き）,3_1,7_1
Fare260yen_017200,空港線（福岡空港方面行き）,3_1,8_1
Fare260yen_017200,空港線（福岡空港方面行き）,3_1,9_3
Fare260yen_017200,空港線（福岡空港方面行き）,3_1,10_1
Fare300yen_017200,空港線（福岡空港方面行き）,3_1,11_1
Fare300yen_017200,空港線（福岡空港方面行き）,3_1,12_1
Fare300yen_017200,空港線（福岡空港方面行き）,3_1,13_1
Fare200yen_017200,空港線（福岡空港方面行き）,4_1,5_1
Fare200yen_017200,空港線（福岡空港方面行き）,4_1,6_1
Fare260yen_017200,空港線（福岡空港方面行き）,4_1,7_1
Fare260yen_017200,空港線（福岡空港方面行き）,4_1,8_1
