service_id,date,exception_type
平日,20180101,2
平日,20180108,2
平日,20180211,2
平日,20180212,2
平日,20180321,2
平日,20180429,2
平日,20180430,2
平日,20180503,2
平日,20180504,2
平日,20180505,2
平日,20180716,2
平日,20180811,2
平日,20180917,2
平日,20180923,2
平日,20180924,2
平日,20181008,2
平日,20181103,2
平日,20181123,2
平日,20181223,2
平日,20181224,2
平日,20190101,2
平日,20190114,2
平日,20190211,2
平日,20190321,2
平日,20180715,2
土休,20180101,1
土休,20180108,1
土休,20180211,1
土休,20180212,1
土休,20180321,1
土休,20180429,1
土休,20180430,1
土休,20180503,1
土休,20180504,1
土休,20180505,1
土休,20180716,1
土休,20180811,1
土休,20180917,1
土休,20180923,1
土休,20180924,1
土休,20181008,1
土休,20181103,1
土休,20181123,1
土休,20181223,1
土休,20181224,1
土休,20190101,1
土休,20190114,1
土休,20190211,1
土休,20190321,1
土休,20180715,2
追い山笠,20180101,2
追い山笠,20180108,2
追い山笠,20180211,2
追い山笠,20180212,2
追い山笠,20180321,2
追い山笠,20180429,2
追い山笠,20180430,2
追い山笠,20180503,2
追い山笠,20180504,2
追い山笠,20180505,2
追い山笠,20180716,2
追い山笠,20180811,2
追い山笠,20180917,2
追い山笠,20180923,2
追い山笠,20180924,2
追い山笠,20181008,2
追い山笠,20181103,2
追い山笠,20181123,2
追い山笠,20181223,2
追い山笠,20181224,2
追い山笠,20190101,2
追い山笠,20190114,2
追い山笠,20190211,2
追い山笠,20190321,2
追い山笠,20180715,1
