fare_id,origin_id,destination_id
１区,1_1,2_1
１区,1_1,3_1
２区,1_1,4_1
２区,1_1,5_1
２区,1_1,6_1
２区,1_1,7_1
３区,1_1,8_1
３区,1_1,9_1
３区,1_1,9_3
３区,1_1,10_1
３区,1_1,11_1
３区,1_1,12_1
４区,1_1,13_1
４区,1_1,13_2
３区,1_1,14_1
３区,1_1,15_1
３区,1_1,16_1
３区,1_1,17_1
４区,1_1,18_1
４区,1_1,19_1
４区,1_1,19_2
６区,1_1,20_2
６区,1_1,20_3
５区,1_1,21_2
５区,1_1,22_2
５区,1_1,23_2
５区,1_1,24_2
４区,1_1,25_2
４区,1_1,26_2
４区,1_1,27_2
４区,1_1,28_2
４区,1_1,29_2
３区,1_1,30_2
３区,1_1,31_2
３区,1_1,32_2
３区,1_1,33_2
３区,1_1,34_2
１区,1_2,2_1
１区,1_2,3_1
２区,1_2,4_1
２区,1_2,5_1
２区,1_2,6_1
２区,1_2,7_1
３区,1_2,8_1
３区,1_2,9_1
３区,1_2,9_3
３区,1_2,10_1
３区,1_2,11_1
３区,1_2,12_1
４区,1_2,13_1
４区,1_2,13_2
３区,1_2,14_1
３区,1_2,15_1
３区,1_2,16_1
３区,1_2,17_1
４区,1_2,18_1
４区,1_2,19_1
４区,1_2,19_2
６区,1_2,20_2
６区,1_2,20_3
５区,1_2,21_2
５区,1_2,22_2
５区,1_2,23_2
５区,1_2,24_2
４区,1_2,25_2
４区,1_2,26_2
４区,1_2,27_2
４区,1_2,28_2
４区,1_2,29_2
３区,1_2,30_2
３区,1_2,31_2
３区,1_2,32_2
３区,1_2,33_2
３区,1_2,34_2
１区,2_2,1_3
１区,2_2,1_4
１区,2_1,3_1
１区,2_1,4_1
２区,2_1,5_1
２区,2_1,6_1
２区,2_1,7_1
２区,2_1,8_1
２区,2_1,9_1
２区,2_1,9_3
３区,2_1,10_1
３区,2_1,11_1
３区,2_1,12_1
４区,2_1,13_1
４区,2_1,13_2
３区,2_1,14_1
３区,2_1,15_1
３区,2_1,16_1
３区,2_1,17_1
３区,2_1,18_1
４区,2_1,19_1
４区,2_1,19_2
５区,2_1,20_2
５区,2_1,20_3
５区,2_1,21_2
５区,2_1,22_2
５区,2_1,23_2
４区,2_1,24_2
４区,2_1,25_2
４区,2_1,26_2
４区,2_1,27_2
４区,2_1,28_2
３区,2_1,29_2
３区,2_1,30_2
３区,2_1,31_2
３区,2_1,32_2
２区,2_1,33_2
２区,2_1,34_2
１区,3_2,1_3
１区,3_2,1_4
１区,3_2,2_2
１区,3_1,4_1
１区,3_1,5_1
２区,3_1,6_1
２区,3_1,7_1
２区,3_1,8_1
２区,3_1,9_1
２区,3_1,9_3
２区,3_1,10_1
３区,3_1,11_1
３区,3_1,12_1
３区,3_1,13_1
３区,3_1,13_2
２区,3_1,14_1
２区,3_1,15_1
３区,3_1,16_1
３区,3_1,17_1
３区,3_1,18_1
３区,3_1,19_1
３区,3_1,19_2
５区,3_1,20_2
５区,3_1,20_3
５区,3_1,21_2
５区,3_1,22_2
４区,3_1,23_2
４区,3_1,24_2
４区,3_1,25_2
４区,3_1,26_2
４区,3_1,27_2
３区,3_1,28_2
３区,3_1,29_2
３区,3_1,30_2
３区,3_1,31_2
２区,3_1,32_2
２区,3_1,33_2
２区,3_1,34_2
２区,4_2,1_3
２区,4_2,1_4
１区,4_2,2_2
１区,4_2,3_2
１区,4_1,5_1
１区,4_1,6_1
２区,4_1,7_1
２区,4_1,8_1
２区,4_1,9_1
２区,4_1,9_3
２区,4_1,10_1
２区,4_1,11_1
３区,4_1,12_1
３区,4_1,13_1
３区,4_1,13_2
２区,4_1,14_1
２区,4_1,15_1
２区,4_1,16_1
３区,4_1,17_1
３区,4_1,18_1
３区,4_1,19_1
３区,4_1,19_2
５区,4_1,20_2
５区,4_1,20_3
４区,4_1,21_2
４区,4_1,22_2
４区,4_1,23_2
４区,4_1,24_2
４区,4_1,25_2
３区,4_1,26_2
３区,4_1,27_2
３区,4_1,28_2
３区,4_1,29_2
３区,4_1,30_2
２区,4_1,31_2
２区,4_1,32_2
２区,4_1,33_2
２区,4_1,34_2
２区,5_2,1_3
２区,5_2,1_4
２区,5_2,2_2
１区,5_2,3_2
１区,5_2,4_2
１区,5_1,6_1
１区,5_1,7_1
１区,5_1,8_1
２区,5_1,9_1
２区,5_1,9_3
２区,5_1,10_1
２区,5_1,11_1
２区,5_1,12_1
３区,5_1,13_1
３区,5_1,13_2
２区,5_1,14_1
２区,5_1,15_1
２区,5_1,16_1
２区,5_1,17_1
３区,5_1,18_1
３区,5_1,19_1
３区,5_1,19_2
４区,5_1,20_2
４区,5_1,20_3
４区,5_1,21_2
４区,5_1,22_2
４区,5_1,23_2
４区,5_1,24_2
３区,5_1,25_2
３区,5_1,26_2
３区,5_1,27_2
３区,5_1,28_2
３区,5_1,29_2
２区,5_1,30_2
２区,5_1,31_2
２区,5_1,32_2
２区,5_1,33_2
２区,5_1,34_2
２区,6_2,1_3
２区,6_2,1_4
２区,6_2,2_2
２区,6_2,3_2
１区,6_2,4_2
１区,6_2,5_2
１区,6_1,7_1
１区,6_1,8_1
１区,6_1,9_1
１区,6_1,9_3
２区,6_1,10_1
２区,6_1,11_1
２区,6_1,12_1
３区,6_1,13_1
３区,6_1,13_2
２区,6_1,14_1
２区,6_1,15_1
２区,6_1,16_1
２区,6_1,17_1
２区,6_1,18_1
３区,6_1,19_1
３区,6_1,19_2
４区,6_1,20_2
４区,6_1,20_3
４区,6_1,21_2
４区,6_1,22_2
４区,6_1,23_2
３区,6_1,24_2
３区,6_1,25_2
３区,6_1,26_2
３区,6_1,27_2
３区,6_1,28_2
２区,6_1,29_2
２区,6_1,30_2
２区,6_1,31_2
２区,6_1,32_2
２区,6_1,33_2
１区,6_1,34_2
２区,7_2,1_3
２区,7_2,1_4
２区,7_2,2_2
２区,7_2,3_2
２区,7_2,4_2
１区,7_2,5_2
１区,7_2,6_2
１区,7_1,8_1
１区,7_1,9_1
１区,7_1,9_3
１区,7_1,10_1
２区,7_1,11_1
２区,7_1,12_1
２区,7_1,13_1
２区,7_1,13_2
１区,7_1,14_1
１区,7_1,15_1
２区,7_1,16_1
２区,7_1,17_1
２区,7_1,18_1
２区,7_1,19_1
２区,7_1,19_2
４区,7_1,20_2
４区,7_1,20_3
４区,7_1,21_2
４区,7_1,22_2
３区,7_1,23_2
３区,7_1,24_2
３区,7_1,25_2
３区,7_1,26_2
３区,7_1,27_2
２区,7_1,28_2
２区,7_1,29_2
２区,7_1,30_2
２区,7_1,31_2
１区,7_1,32_2
１区,7_1,33_2
１区,7_1,34_2
３区,8_2,1_3
３区,8_2,1_4
２区,8_2,2_2
２区,8_2,3_2
