trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
空港線（福岡空港方面行き）+平日+1,5:30:00,5:30:00,1_1pf,0,,0,0
空港線（福岡空港方面行き）+平日+1,5:32:00,5:32:00,2_1pf,1500,,0,0
空港線（福岡空港方面行き）+平日+1,5:34:00,5:34:00,3_1pf,2300,,0,0
空港線（福岡空港方面行き）+平日+1,5:36:00,5:36:00,4_1pf,3400,,0,0
空港線（福岡空港方面行き）+平日+1,5:38:00,5:38:00,5_1pf,4600,,0,0
空港線（福岡空港方面行き）+平日+1,5:40:00,5:40:00,6_1pf,5400,,0,0
空港線（福岡空港方面行き）+平日+1,5:42:00,5:42:00,7_1pf,6500,,0,0
空港線（福岡空港方面行き）+平日+1,5:44:00,5:44:00,8_1pf,7300,,0,0
空港線（福岡空港方面行き）+平日+1,5:45:00,5:46:00,9_3pf,8100,,0,0
空港線（福岡空港方面行き）+平日+1,5:48:00,5:48:00,10_1pf,9100,,0,0
空港線（福岡空港方面行き）+平日+1,5:50:00,5:50:00,11_1pf,9800,,0,0
空港線（福岡空港方面行き）+平日+1,5:52:00,5:52:00,12_1pf,11000,,0,0
空港線（福岡空港方面行き）+平日+1,5:55:00,5:55:00,13_1pf,13100,,0,0
空港線（福岡空港方面行き）+平日+2,5:36:00,5:36:00,1_1pf,0,,0,0
空港線（福岡空港方面行き）+平日+2,5:38:00,5:38:00,2_1pf,1500,,0,0
空港線（福岡空港方面行き）+平日+2,5:39:00,5:39:00,3_1pf,2300,,0,0
空港線（福岡空港方面行き）+平日+2,5:42:00,5:42:00,4_1pf,3400,,0,0
空港線（福岡空港方面行き）+平日+2,5:44:00,5:44:00,5_1pf,4600,,0,0
空港線（福岡空港方面行き）+平日+2,5:45:00,5:45:00,6_1pf,5400,,0,0
空港線（福岡空港方面行き）+平日+2,5:47:00,5:47:00,7_1pf,6500,,0,0
空港線（福岡空港方面行き）+平日+2,5:49:00,5:49:00,8_1pf,7300,,0,0
空港線（福岡空港方面行き）+平日+2,5:51:00,5:51:00,9_1pf,8100,,0,0
空港線（福岡空港方面行き）+平日+3,5:40:00,5:40:00,1_1pf,0,,0,0
空港線（福岡空港方面行き）+平日+3,5:42:00,5:42:00,2_1pf,1500,,0,0
空港線（福岡空港方面行き）+平日+3,5:44:00,5:44:00,3_1pf,2300,,0,0
空港線（福岡空港方面行き）+平日+3,5:46:00,5:46:00,4_1pf,3400,,0,0
空港線（福岡空港方面行き）+平日+3,5:48:00,5:48:00,5_1pf,4600,,0,0
空港線（福岡空港方面行き）+平日+3,5:50:00,5:50:00,6_1pf,5400,,0,0
空港線（福岡空港方面行き）+平日+3,5:52:00,5:52:00,7_1pf,6500,,0,0
空港線（福岡空港方面行き）+平日+3,5:54:00,5:54:00,8_1pf,7300,,0,0
空港線（福岡空港方面行き）+平日+3,5:55:00,5:56:00,9_3pf,8100,,0,0
空港線（福岡空港方面行き）+平日+3,5:58:00,5:58:00,10_1pf,9100,,0,0
空港線（福岡空港方面行き）+平日+3,6:00:00,6:00:00,11_1pf,9800,,0,0
空港線（福岡空港方面行き）+平日+3,6:02:00,6:02:00,12_1pf,11000,,0,0
空港線（福岡空港方面行き）+平日+3,6:05:00,6:05:00,13_1pf,13100,,0,0
空港線（福岡空港方面行き）+平日+4,5:45:00,5:45:00,1_1pf,0,,0,0
空港線（福岡空港方面行き）+平日+4,5:47:00,5:47:00,2_1pf,1500,,0,0
空港線（福岡空港方面行き）+平日+4,5:49:00,5:49:00,3_1pf,2300,,0,0
空港線（福岡空港方面行き）+平日+4,5:51:00,5:51:00,4_1pf,3400,,0,0
空港線（福岡空港方面行き）+平日+4,5:53:00,5:53:00,5_1pf,4600,,0,0
空港線（福岡空港方面行き）+平日+4,5:54:00,5:54:00,6_1pf,5400,,0,0
空港線（福岡空港方面行き）+平日+4,5:56:00,5:56:00,7_1pf,6500,,0,0
空港線（福岡空港方面行き）+平日+4,5:58:00,5:58:00,8_1pf,7300,,0,0
空港線（福岡空港方面行き）+平日+4,6:00:00,6:00:00,9_1pf,8100,,0,0
空港線（福岡空港方面行き）+平日+5,5:49:00,5:49:00,1_1pf,0,,0,0
空港線（福岡空港方面行き）+平日+5,5:52:00,5:52:00,2_1pf,1500,,0,0
空港線（福岡空港方面行き）+平日+5,5:53:00,5:53:00,3_1pf,2300,,0,0
空港線（福岡空港方面行き）+平日+5,5:55:00,5:55:00,4_1pf,3400,,0,0
空港線（福岡空港方面行き）+平日+5,5:57:00,5:57:00,5_1pf,4600,,0,0
空港線（福岡空港方面行き）+平日+5,5:59:00,5:59:00,6_1pf,5400,,0,0
