stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1,K01,姪浜,33.583772,130.325038,1,https://subway.city.fukuoka.lg.jp/eki/stations/meinohama.php,1,,1
1_1pf,,姪浜1番ホーム,33.583822,130.325150,1_1,,0,1,1
1_2pf,,姪浜2番ホーム,33.583751,130.325146,1_2,,0,1,1
1_3pf,,姪浜3番ホーム,33.583670,130.325144,1_3,,0,1,1
1_4pf,,姪浜4番ホーム,33.583610,130.325138,1_4,,0,1,1
1_Nex,,姪浜北出入口,33.583835,130.324827,,,2,1,1
1_Sex,,姪浜南出入口,33.583596,130.324785,,,2,1,1
2,K02,室見,33.580947,130.340145,2,https://subway.city.fukuoka.lg.jp/eki/stations/muromi.php,1,,1
2_1pf,,室見1番ホーム,33.580989,130.340168,2_1,,0,2,1
2_2pf,,室見2番ホーム,33.580909,130.340138,2_2,,0,2,1
2_1ex,,室見1番出入口,33.581001,130.339477,,,2,2,2
2_2ex,,室見2番出入口,33.580748,130.339452,,,2,2,2
2_3ex,,室見3番出入口,33.580828,130.340523,,,2,2,2
2_4ex,,室見4番出入口,33.580604,130.340404,,,2,2,2
2_5ex,,室見5番出入口,33.580863,130.339993,,,2,2,2
2_6ex,,室見6番出入口,33.580935,130.339708,,,2,2,1
3,K03,藤崎,33.581376,130.348202,3,https://subway.city.fukuoka.lg.jp/eki/stations/fujisaki.php,1,,1
3_1pf,,藤崎1番ホーム,33.581389,130.347895,3_1,,0,3,1
3_2pf,,藤崎2番ホーム,33.581305,130.347895,3_2,,0,3,1
3_1ex,,藤崎1番出入口,33.581185,130.347556,,,2,3,2
3_2ex,,藤崎2番出入口,33.581467,130.347607,,,2,3,2
3_3ex,,藤崎3番出入口,33.581507,130.348690,,,2,3,2
3_4ex,,藤崎4番出入口,33.581395,130.349510,,,2,3,2
3_5ex,,藤崎5番出入口,33.581474,130.348420,,,2,3,1
4,K04,西新,33.583726,130.359714,4,https://subway.city.fukuoka.lg.jp/eki/stations/nishijin.php,1,,1
4_1pf,,西新1番ホーム,33.583900,130.359755,4_1,,0,4,1
4_2pf,,西新2番ホーム,33.583791,130.359816,4_2,,0,4,1
4_1ex,,西新1番出入口,33.583269,130.357987,,,2,4,2
4_2ex,,西新2番出入口,33.583208,130.358712,,,2,4,2
4_3ex,,西新3番出入口,33.583660,130.359057,,,2,4,2
4_4ex,,西新4番出入口,33.583396,130.359577,,,2,4,2
4_5ex,,西新5番出入口,33.583679,130.359773,,,2,4,2
4_6ex,,西新6番出入口,33.584146,130.360604,,,2,4,2
4_7ex,,西新7番出入口,33.584140,130.359928,,,2,4,2
4_8ex,,西新8番出入口,33.584098,130.359838,,,2,4,1
5,K05,唐人町,33.590278,130.370443,5,https://subway.city.fukuoka.lg.jp/eki/stations/tojinmachi.php,1,,1
5_1pf,,唐人町1番ホーム,33.590351,130.370518,5_1,,0,5,1
5_2pf,,唐人町2番ホーム,33.590239,130.370540,5_2,,0,5,1
5_1ex,,唐人町1番出入口,33.589822,130.369008,,,2,5,2
5_2ex,,唐人町2番出入口,33.589642,130.369159,,,2,5,2
5_3ex,,唐人町3番出入口,33.590254,130.369896,,,2,5,2
5_4ex,,唐人町4番出入口,33.590407,130.370982,,,2,5,2
5_5ex,,唐人町5番出入口,33.590154,130.370611,,,2,5,2
5_6ex,,唐人町6番出入口,33.590169,130.370999,,,2,5,2
5_7ex,,唐人町7番出入口,33.590381,130.370400,,,2,5,1
6,K06,大濠公園,33.590081,130.378844,6,https://subway.city.fukuoka.lg.jp/eki/stations/oohori.php,1,,1
6_1pf,,大濠公園1番ホーム,33.590133,130.378859,6_1,,0,6,1
6_2pf,,大濠公園2番ホーム,33.590013,130.378837,6_2,,0,6,1
6_1ex,,大濠公園1番出入口,33.590304,130.378169,,,2,6,2
6_2ex,,大濠公園2番出入口,33.590270,130.378697,,,2,6,2
6_3ex,,大濠公園3番出入口,33.589966,130.378402,,,2,6,2
6_4ex,,大濠公園4番出入口,33.590232,130.379720,,,2,6,2
6_5ex,,大濠公園5番出入口,33.589830,130.379225,,,2,6,2
6_6ex,,大濠公園6番出入口,33.590040,130.378414,,,2,6,1
7,K07,赤坂,33.589134,130.390946,7,https://subway.city.fukuoka.lg.jp/eki/stations/akasak.php,1,,1
7_1pf,,赤坂1番ホーム,33.589088,130.390563,7_1,,0,7,1
7_2pf,,赤坂2番ホーム,33.588996,130.390585,7_2,,0,7,1
7_1ex,,赤坂1番出入口,33.589109,130.390324,,,2,7,2
7_2ex,,赤坂2番出入口,33.588836,130.390125,,,2,7,2
7_3ex,,赤坂3番出入口,33.589253,130.391053,,,2,7,2
7_4ex,,赤坂4番出入口,33.589085,130.391151,,,2,7,2
7_5ex,,赤坂5番出入口,33.589404,130.392644,,,2,7,2
7_6ex,,赤坂6番出入口,33.589120,130.390323,,,2,7,1
8,K08,天神,33.591493,130.399379,8,https://subway.city.fukuoka.lg.jp/eki/stations/tenjin.php,1,,1
8_1pf,,天神1番ホーム,33.591435,130.398877,8_1,,0,8,1
8_2pf,,天神2番ホーム,33.591323,130.398915,8_2,,0,8,1
8_1ex,,天神1番出入口,33.591006,130.396616,,,2,8,2
8_2ex,,天神2番出入口,33.590659,130.396562,,,2,8,2
8_3ex,,天神3番出入口,33.590861,130.397201,,,2,8,2
8_4ex,,天神4番出入口,33.591212,130.397495,,,2,8,2
8_5ex,,天神5番出入口,33.591025,130.397877,,,2,8,2
8_6ex,,天神6番出入口,33.591004,130.398207,,,2,8,2
8_7ex,,天神7番出入口,33.591191,130.398703,,,2,8,2
8_11ex,,天神11番出入口,33.591541,130.399087,,,2,8,2
8_12ex,,天神12番出入口,33.591737,130.400126,,,2,8,2
8_14ex,,天神14番出入口,33.591782,130.401413,,,2,8,2
8_15ex,,天神15番出入口,33.591607,130.400618,,,2,8,2
8_16ex,,天神16番出入口,33.591762,130.401703,,,2,8,2
9,K09/H01,中洲川端,33.594380,130.405988,9,https://subway.city.fukuoka.lg.jp/eki/stations/nakasu.php,1,,1
9_1pf,,中洲川端1番ホーム,33.594791,130.406331,9_1,,0,9,1
9_2pf,,中洲川端2番ホーム,33.594733,130.406417,9_2,,0,9,1
9_3pf,,中洲川端3番ホーム,33.594488,130.406031,9_3,,0,9,1
9_4pf,,中洲川端4番ホーム,33.594432,130.406100,9_4,,0,9,1
9_1ex,,中洲川端1番出入口,33.593454,130.405183,,,2,9,2
9_2ex,,中洲川端2番出入口,33.593648,130.405012,,,2,9,2
9_3ex,,中洲川端3番出入口,33.593861,130.405357,,,2,9,2
9_4ex,,中洲川端4番出入口,33.593764,130.405691,,,2,9,2
9_5ex,,中洲川端5番出入口,33.594620,130.406479,,,2,9,2
9_6ex,,中洲川端6番出入口,33.594618,130.406048,,,2,9,2
9_7ex,,中洲川端7番出入口,33.595319,130.406729,,,2,9,2
10,K10,祇園,33.594156,130.414656,10,https://subway.city.fukuoka.lg.jp/eki/stations/gion.php,1,,1
10_1pf,,祇園1番ホーム,33.594263,130.414462,10_1,,0,10,1
10_2pf,,祇園2番ホーム,33.594191,130.414381,10_2,,0,10,1
10_1ex,,祇園1番出入口,33.594470,130.414187,,,2,10,2
10_2ex,,祇園2番出入口,33.594356,130.413839,,,2,10,2
10_3ex,,祇園3番出入口,33.593994,130.414220,,,2,10,2
10_4ex,,祇園4番出入口,33.593969,130.415046,,,2,10,2
10_5ex,,祇園5番出入口,33.593502,130.414959,,,2,10,2
10_6ex,,祇園6番出入口,33.593883,130.414455,,,2,10,1
10_P1ex,,博多駅方面連絡通路P1出入口,33.593170,130.416208,,,2,10,2
10_P2ex,,博多駅方面連絡通路P2出入口,33.592750,130.415946,,,2,10,2
10_P3ex,,博多駅方面連絡通路P3出入口,33.592607,130.416851,,,2,10,2
10_P4ex,,博多駅方面連絡通路P4出入口,33.592132,130.416776,,,2,10,2
10_P5ex,,博多駅方面連絡通路P5出入口,33.591397,130.417579,,,2,10,2
10_P6ex,,博多駅方面連絡通路P6出入口,33.591528,130.418337,,,2,10,2
10_P7ex,,博多駅方面連絡通路P7出入口,33.590976,130.417796,,,2,10,2
11,K11,博多,33.590130,130.420616,11,https://subway.city.fukuoka.lg.jp/eki/stations/hakata.php,1,,1
11_1pf,,博多1番ホーム,33.590288,130.420664,11_1,,0,11,1
11_2pf,,博多2番ホーム,33.590138,130.420645,11_2,,0,11,1
11_W1ex,,博多西1番出入口,33.590679,130.419637,,,2,11,2
