fare_id,origin_id,destination_id
1_to_2,1,2
2_to_1,2,1
1_to_3,1,3
3_to_1,3,1
1_to_4,1,4
4_to_1,4,1
1_to_5,1,5
5_to_1,5,1
1_to_6,1,6
6_to_1,6,1
1_to_7,1,7
7_to_1,7,1
1_to_8,1,8
8_to_1,8,1
1_to_9,1,9
9_to_1,9,1
1_to_10,1,10
10_to_1,10,1
1_to_11,1,11
11_to_1,11,1
1_to_12,1,12
12_to_1,12,1
1_to_13,1,13
13_to_1,13,1
1_to_14,1,14
14_to_1,14,1
1_to_15,1,15
15_to_1,15,1
1_to_16,1,16
16_to_1,16,1
1_to_17,1,17
17_to_1,17,1
1_to_18,1,18
18_to_1,18,1
1_to_19,1,19
19_to_1,19,1
1_to_21,1,21
21_to_1,21,1
1_to_22,1,22
22_to_1,22,1
1_to_23,1,23
23_to_1,23,1
1_to_24,1,24
24_to_1,24,1
1_to_25,1,25
25_to_1,25,1
1_to_26,1,26
26_to_1,26,1
1_to_27,1,27
27_to_1,27,1
1_to_28,1,28
28_to_1,28,1
1_to_29,1,29
29_to_1,29,1
1_to_30,1,30
30_to_1,30,1
1_to_31,1,31
31_to_1,31,1
1_to_32,1,32
32_to_1,32,1
1_to_33,1,33
33_to_1,33,1
1_to_34,1,34
34_to_1,34,1
1_to_35,1,35
35_to_1,35,1
2_to_3,2,3
3_to_2,3,2
2_to_4,2,4
4_to_2,4,2
2_to_5,2,5
5_to_2,5,2
2_to_6,2,6
6_to_2,6,2
2_to_7,2,7
7_to_2,7,2
2_to_8,2,8
8_to_2,8,2
2_to_9,2,9
9_to_2,9,2
2_to_10,2,10
10_to_2,10,2
2_to_11,2,11
11_to_2,11,2
2_to_12,2,12
12_to_2,12,2
2_to_13,2,13
13_to_2,13,2
2_to_14,2,14
14_to_2,14,2
2_to_15,2,15
15_to_2,15,2
2_to_16,2,16
16_to_2,16,2
2_to_17,2,17
17_to_2,17,2
2_to_18,2,18
18_to_2,18,2
2_to_19,2,19
19_to_2,19,2
2_to_21,2,21
21_to_2,21,2
2_to_22,2,22
22_to_2,22,2
2_to_23,2,23
23_to_2,23,2
2_to_24,2,24
24_to_2,24,2
2_to_25,2,25
25_to_2,25,2
2_to_26,2,26
26_to_2,26,2
2_to_27,2,27
27_to_2,27,2
2_to_28,2,28
28_to_2,28,2
2_to_29,2,29
29_to_2,29,2
2_to_30,2,30
30_to_2,30,2
2_to_31,2,31
31_to_2,31,2
2_to_32,2,32
32_to_2,32,2
2_to_33,2,33
33_to_2,33,2
2_to_34,2,34
34_to_2,34,2
2_to_35,2,35
35_to_2,35,2
3_to_4,3,4
4_to_3,4,3
3_to_5,3,5
5_to_3,5,3
3_to_6,3,6
6_to_3,6,3
3_to_7,3,7
7_to_3,7,3
3_to_8,3,8
8_to_3,8,3
3_to_9,3,9
9_to_3,9,3
3_to_10,3,10
10_to_3,10,3
3_to_11,3,11
11_to_3,11,3
3_to_12,3,12
12_to_3,12,3
3_to_13,3,13
13_to_3,13,3
3_to_14,3,14
14_to_3,14,3
3_to_15,3,15
15_to_3,15,3
3_to_16,3,16
16_to_3,16,3
3_to_17,3,17
17_to_3,17,3
3_to_18,3,18
18_to_3,18,3
3_to_19,3,19
19_to_3,19,3
3_to_21,3,21
21_to_3,21,3
3_to_22,3,22
22_to_3,22,3
3_to_23,3,23
23_to_3,23,3
3_to_24,3,24
24_to_3,24,3
3_to_25,3,25
25_to_3,25,3
3_to_26,3,26
26_to_3,26,3
3_to_27,3,27
27_to_3,27,3
3_to_28,3,28
28_to_3,28,3
3_to_29,3,29
29_to_3,29,3
3_to_30,3,30
30_to_3,30,3
3_to_31,3,31
31_to_3,31,3
3_to_32,3,32
32_to_3,32,3
3_to_33,3,33
33_to_3,33,3
3_to_34,3,34
34_to_3,34,3
3_to_35,3,35
35_to_3,35,3
4_to_5,4,5
5_to_4,5,4
4_to_6,4,6
6_to_4,6,4
4_to_7,4,7
7_to_4,7,4
4_to_8,4,8
8_to_4,8,4
4_to_9,4,9
9_to_4,9,4
4_to_10,4,10
10_to_4,10,4
4_to_11,4,11
11_to_4,11,4
4_to_12,4,12
12_to_4,12,4
4_to_13,4,13
13_to_4,13,4
4_to_14,4,14
14_to_4,14,4
4_to_15,4,15
15_to_4,15,4
4_to_16,4,16
16_to_4,16,4
4_to_17,4,17
17_to_4,17,4
4_to_18,4,18
18_to_4,18,4
4_to_19,4,19
19_to_4,19,4
4_to_21,4,21
21_to_4,21,4
4_to_22,4,22
22_to_4,22,4
4_to_23,4,23
23_to_4,23,4
4_to_24,4,24
24_to_4,24,4
4_to_25,4,25
25_to_4,25,4
4_to_26,4,26
26_to_4,26,4
4_to_27,4,27
27_to_4,27,4
4_to_28,4,28
28_to_4,28,4
4_to_29,4,29
29_to_4,29,4
4_to_30,4,30
30_to_4,30,4
4_to_31,4,31
31_to_4,31,4
4_to_32,4,32
32_to_4,32,4
4_to_33,4,33
33_to_4,33,4
4_to_34,4,34
34_to_4,34,4
4_to_35,4,35
35_to_4,35,4
5_to_6,5,6
6_to_5,6,5
5_to_7,5,7
7_to_5,7,5
5_to_8,5,8
8_to_5,8,5
5_to_9,5,9
9_to_5,9,5
5_to_10,5,10
10_to_5,10,5
5_to_11,5,11
11_to_5,11,5
