location_type,parent_station,stop_code,stop_id,stop_lat,stop_lon,stop_name,stop_url,wheelchair_boarding,zone_id
1,,K01,1,33.583772,130.325038,姪浜,https://subway.city.fukuoka.lg.jp/eki/stations/meinohama.php,1,1
0,1,,1_1,33.583772,130.325038,姪浜,,1,1
0,1,,1_2,33.583772,130.325038,姪浜,,1,1
1,,K02,2,33.580947,130.340145,室見,https://subway.city.fukuoka.lg.jp/eki/stations/muromi.php,1,2
0,2,,2_1,33.580947,130.340145,室見,,1,2
0,2,,2_2,33.580947,130.340145,室見,,1,2
1,,K03,3,33.581376,130.348202,藤崎,https://subway.city.fukuoka.lg.jp/eki/stations/fujisaki.php,1,3
0,3,,3_1,33.581376,130.348202,藤崎,,1,3
0,3,,3_2,33.581376,130.348202,藤崎,,1,3
1,,K04,4,33.583726,130.359714,西新,https://subway.city.fukuoka.lg.jp/eki/stations/nishijin.php,1,4
0,4,,4_1,33.583726,130.359714,西新,,1,4
0,4,,4_2,33.583726,130.359714,西新,,1,4
1,,K05,5,33.590278,130.370443,唐人町,https://subway.city.fukuoka.lg.jp/eki/stations/tojinmachi.php,1,5
0,5,,5_1,33.590278,130.370443,唐人町,,1,5
0,5,,5_2,33.590278,130.370443,唐人町,,1,5
1,,K06,6,33.590081,130.378844,大濠公園,https://subway.city.fukuoka.lg.jp/eki/stations/oohori.php,1,6
0,6,,6_1,33.590081,130.378844,大濠公園,,1,6
0,6,,6_2,33.590081,130.378844,大濠公園,,1,6
1,,K07,7,33.589134,130.390946,赤坂,https://subway.city.fukuoka.lg.jp/eki/stations/akasak.php,1,7
0,7,,7_1,33.589134,130.390946,赤坂,,1,7
0,7,,7_2,33.589134,130.390946,赤坂,,1,7
1,,K08,8,33.591493,130.399379,天神,https://subway.city.fukuoka.lg.jp/eki/stations/tenjin.php,1,8
0,8,,8_1,33.591493,130.399379,天神,,1,8
0,8,,8_2,33.591493,130.399379,天神,,1,8
1,,K09/H01,9,33.59438,130.405988,中洲川端,https://subway.city.fukuoka.lg.jp/eki/stations/nakasu.php,1,9
0,9,,9_1,33.59438,130.405988,中洲川端,,1,9
0,9,,9_2,33.59438,130.405988,中洲川端,,1,9
0,9,,9_3,33.59438,130.405988,中洲川端,,1,9
0,9,,9_4,33.59438,130.405988,中洲川端,,1,9
1,,K10,10,33.594156,130.414656,祇園,https://subway.city.fukuoka.lg.jp/eki/stations/gion.php,1,10
0,10,,10_1,33.594156,130.414656,祇園,,1,10
