shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
空港線（福岡空港方面行き）,33.5838553,130.3240434,0,0
空港線（福岡空港方面行き）,33.5838441,130.3246103,1,1
空港線（福岡空港方面行き）,33.5838094,130.3254624,2,2
空港線（福岡空港方面行き）,33.5837643,130.3259154,3,50
空港線（福岡空港方面行き）,33.5836133,130.3271041,4,250
空港線（福岡空港方面行き）,33.5835927,130.327447,5,300
空港線（福岡空港方面行き）,33.5833309,130.3316796,6,650
空港線（福岡空港方面行き）,33.5832948,130.3318965,7,670
空港線（福岡空港方面行き）,33.5832681,130.3321177,8,700
空港線（福岡空港方面行き）,33.5831281,130.3336974,9,800
空港線（福岡空港方面行き）,33.5830074,130.3345961,10,900
空港線（福岡空港方面行き）,33.5829358,130.3349669,11,950
空港線（福岡空港方面行き）,33.5828166,130.3354491,12,1000
空港線（福岡空港方面行き）,33.5827223,130.3357735,13,1050
空港線（福岡空港方面行き）,33.582498,130.3364545,14,1100
空港線（福岡空港方面行き）,33.5822468,130.3371262,15,1200
空港線（福岡空港方面行き）,33.5820324,130.3375964,16,1300
空港線（福岡空港方面行き）,33.5818797,130.3379091,17,1350
空港線（福岡空港方面行き）,33.5813548,130.3388019,18,1400
空港線（福岡空港方面行き）,33.5811926,130.3391111,19,1440
空港線（福岡空港方面行き）,33.5810072,130.3395258,20,1470
空港線（福岡空港方面行き）,33.5808961,130.3400408,21,1500
空港線（福岡空港方面行き）,33.5808181,130.3409404,22,1600
空港線（福岡空港方面行き）,33.5807949,130.3414129,23,1650
空港線（福岡空港方面行き）,33.5808453,130.342473,24,1800
空港線（福岡空港方面行き）,33.5810668,130.3455494,25,2000
空港線（福岡空港方面行き）,33.5812552,130.3469098,26,2150
空港線（福岡空港方面行き）,33.5813309,130.3483373,27,2300
空港線（福岡空港方面行き）,33.5813996,130.3490181,28,2400
空港線（福岡空港方面行き）,33.5814595,130.3492507,29,2450
空港線（福岡空港方面行き）,33.5818164,130.3503879,30,2550
空港線（福岡空港方面行き）,33.581865,130.3506078,31,2600
空港線（福岡空港方面行き）,33.5831014,130.357771,32,3150
空港線（福岡空港方面行き）,33.5833718,130.3586957,33,3200
空港線（福岡空港方面行き）,33.5834461,130.3589216,34,3250
空港線（福岡空港方面行き）,33.5834963,130.3590712,35,3300
空港線（福岡空港方面行き）,33.5835563,130.3591724,36,3350
空港線（福岡空港方面行き）,33.5836972,130.3594731,37,3400
空港線（福岡空港方面行き）,33.5839888,130.3599813,38,3450
空港線（福岡空港方面行き）,33.5841489,130.360304,39,3500
空港線（福岡空港方面行き）,33.5855594,130.3623326,40,3550
空港線（福岡空港方面行き）,33.5875601,130.36512,41,3800
空港線（福岡空港方面行き）,33.5899408,130.3694755,42,4100
空港線（福岡空港方面行き）,33.5900579,130.3696914,43,4400
空港線（福岡空港方面行き）,33.5901198,130.3698437,44,4450
空港線（福岡空港方面行き）,33.5901817,130.3700324,45,4500
