service_id,date,exception_type
空港箱崎_休日,20260320,1
空港箱崎_平日,20260429,2
空港箱崎_休日,20260429,1
空港箱崎_平日,20260504,2
空港箱崎_休日,20260504,1
空港箱崎_平日,20260505,2
空港箱崎_休日,20260505,1
空港箱崎_平日,20260506,2
空港箱崎_休日,20260506,1
空港箱崎_平日,20260720,2
空港箱崎_休日,20260720,1
空港箱崎_平日,20260811,2
空港箱崎_休日,20260811,1
空港箱崎_平日,20260921,2
空港箱崎_休日,20260921,1
空港箱崎_平日,20260922,2
空港箱崎_休日,20260922,1
空港箱崎_平日,20260923,2
空港箱崎_休日,20260923,1
空港箱崎_平日,20261012,2
空港箱崎_休日,20261012,1
空港箱崎_平日,20261103,2
空港箱崎_休日,20261103,1
空港箱崎_平日,20261123,2
空港箱崎_休日,20261123,1
空港箱崎_平日,20270101,2
空港箱崎_休日,20270101,1
空港箱崎_平日,20270111,2
空港箱崎_休日,20270111,1
空港箱崎_平日,20270211,2
空港箱崎_休日,20270211,1
空港箱崎_平日,20270223,2
空港箱崎_休日,20270223,1
空港箱崎_平日,20270322,2
空港箱崎_休日,20270322,1
空港箱崎_平日,20270429,2
空港箱崎_休日,20270429,1
空港箱崎_平日,20270503,2
空港箱崎_休日,20270503,1
空港箱崎_平日,20270504,2
空港箱崎_休日,20270504,1
空港箱崎_平日,20270505,2
空港箱崎_休日,20270505,1
空港箱崎_平日,20270719,2
空港箱崎_休日,20270719,1
空港箱崎_平日,20270811,2
空港箱崎_休日,20270811,1
空港箱崎_平日,20270920,2
空港箱崎_休日,20270920,1
空港箱崎_平日,20270923,2
空港箱崎_休日,20270923,1
空港箱崎_平日,20271011,2
空港箱崎_休日,20271011,1
空港箱崎_平日,20271103,2
空港箱崎_休日,20271103,1
空港箱崎_平日,20271123,2
空港箱崎_休日,20271123,1
空港箱崎_土曜,20280101,2
空港箱崎_休日,20280101,1
空港箱崎_平日,20280110,2
空港箱崎_休日,20280110,1
空港箱崎_平日,20280211,2
空港箱崎_休日,20280211,1
空港箱崎_平日,20280223,2
空港箱崎_休日,20280223,1
空港箱崎_平日,20280320,2
空港箱崎_休日,20280320,1
空港箱崎_土曜,20280429,2
空港箱崎_休日,20280429,1
空港箱崎_平日,20280503,2
空港箱崎_休日,20280503,1
空港箱崎_平日,20280504,2
空港箱崎_休日,20280504,1
空港箱崎_平日,20280505,2
空港箱崎_休日,20280505,1
七隈_休日,20250811,1
七隈_休日,20250915,1
七隈_休日,20250923,1
七隈_休日,20251013,1
七隈_休日,20251103,1
七隈_休日,20251124,1
七隈_休日,20260101,1
七隈_休日,20260112,1
七隈_休日,20260211,1
七隈_休日,20260223,1
七隈_休日,20260320,1
七隈_平日,20260429,2
七隈_休日,20260429,1
七隈_平日,20260504,2
七隈_休日,20260504,1
七隈_平日,20260505,2
七隈_休日,20260505,1
七隈_平日,20260506,2
七隈_休日,20260506,1
七隈_平日,20260720,2
七隈_休日,20260720,1
七隈_平日,20260811,2
七隈_休日,20260811,1
七隈_平日,20260921,2
七隈_休日,20260921,1
七隈_平日,20260922,2
七隈_休日,20260922,1
七隈_平日,20260923,2
七隈_休日,20260923,1
七隈_平日,20261012,2
七隈_休日,20261012,1
七隈_平日,20261103,2
七隈_休日,20261103,1
七隈_平日,20261123,2
七隈_休日,20261123,1
七隈_平日,20270101,2
七隈_休日,20270101,1
七隈_平日,20270111,2
七隈_休日,20270111,1
七隈_平日,20270211,2
七隈_休日,20270211,1
七隈_平日,20270223,2
七隈_休日,20270223,1
七隈_平日,20270322,2
七隈_休日,20270322,1
七隈_平日,20270429,2
七隈_休日,20270429,1
七隈_平日,20270503,2
七隈_休日,20270503,1
七隈_平日,20270504,2
七隈_休日,20270504,1
七隈_平日,20270505,2
七隈_休日,20270505,1
七隈_平日,20270719,2
七隈_休日,20270719,1
七隈_平日,20270811,2
七隈_休日,20270811,1
七隈_平日,20270920,2
七隈_休日,20270920,1
七隈_平日,20270923,2
七隈_休日,20270923,1
七隈_平日,20271011,2
七隈_休日,20271011,1
七隈_平日,20271103,2
七隈_休日,20271103,1
七隈_平日,20271123,2
七隈_休日,20271123,1
七隈_土曜,20280101,2
七隈_休日,20280101,1
七隈_平日,20280110,2
七隈_休日,20280110,1
七隈_平日,20280211,2
七隈_休日,20280211,1
七隈_平日,20280223,2
七隈_休日,20280223,1
七隈_平日,20280320,2
七隈_休日,20280320,1
七隈_土曜,20280429,2
七隈_休日,20280429,1
七隈_平日,20280503,2
七隈_休日,20280503,1
七隈_平日,20280504,2
七隈_休日,20280504,1
七隈_平日,20280505,2
七隈_休日,20280505,1
