fare_id,origin_id,destination_id
fare_210,1,2
fare_210,1,3
fare_260,1,4
fare_260,1,5
fare_260,1,6
fare_260,1,7
fare_300,1,8
fare_300,1,9
fare_300,1,10
fare_300,1,11
fare_300,1,12
fare_340,1,13
fare_300,1,14
fare_300,1,15
fare_300,1,16
fare_300,1,17
fare_340,1,18
fare_340,1,19
fare_380,1,20
fare_380,1,21
fare_380,1,22
fare_380,1,23
fare_380,1,24
fare_380,1,25
fare_360,1,26
fare_360,1,27
fare_360,1,28
fare_360,1,29
fare_360,1,30
fare_340,1,31
fare_340,1,32
fare_340,1,33
fare_340,1,34
fare_340,1,35
fare_300,1,36
fare_210,2,1
fare_210,2,3
fare_210,2,4
fare_260,2,5
fare_260,2,6
fare_260,2,7
fare_260,2,8
fare_260,2,9
fare_300,2,10
fare_300,2,11
fare_300,2,12
fare_340,2,13
fare_300,2,14
fare_300,2,15
fare_300,2,16
fare_300,2,17
fare_300,2,18
fare_340,2,19
fare_380,2,20
fare_380,2,21
fare_380,2,22
fare_380,2,23
fare_360,2,24
fare_360,2,25
fare_360,2,26
fare_360,2,27
fare_360,2,28
fare_340,2,29
fare_340,2,30
fare_340,2,31
fare_340,2,32
fare_340,2,33
fare_300,2,34
fare_300,2,35
fare_300,2,36
fare_210,3,1
fare_210,3,2
fare_210,3,4
fare_210,3,5
fare_260,3,6
fare_260,3,7
fare_260,3,8
fare_260,3,9
fare_260,3,10
fare_300,3,11
fare_300,3,12
fare_300,3,13
fare_260,3,14
fare_260,3,15
fare_300,3,16
fare_300,3,17
fare_300,3,18
fare_300,3,19
fare_380,3,20
fare_380,3,21
fare_380,3,22
fare_360,3,23
fare_360,3,24
fare_360,3,25
fare_360,3,26
fare_360,3,27
fare_340,3,28
fare_340,3,29
fare_340,3,30
fare_340,3,31
fare_300,3,32
fare_300,3,33
fare_300,3,34
fare_300,3,35
fare_300,3,36
fare_260,4,1
fare_210,4,2
fare_210,4,3
fare_210,4,5
fare_210,4,6
fare_260,4,7
fare_260,4,8
fare_260,4,9
fare_260,4,10
fare_260,4,11
fare_300,4,12
fare_300,4,13
fare_260,4,14
fare_260,4,15
fare_260,4,16
fare_300,4,17
fare_300,4,18
fare_300,4,19
fare_380,4,20
fare_360,4,21
fare_360,4,22
fare_360,4,23
fare_360,4,24
fare_360,4,25
fare_360,4,26
fare_340,4,27
fare_340,4,28
fare_340,4,29
fare_340,4,30
fare_300,4,31
fare_300,4,32
fare_300,4,33
fare_300,4,34
fare_300,4,35
fare_260,4,36
fare_260,5,1
fare_260,5,2
fare_210,5,3
fare_210,5,4
fare_210,5,6
fare_210,5,7
fare_210,5,8
fare_260,5,9
fare_260,5,10
fare_260,5,11
fare_260,5,12
fare_300,5,13
fare_260,5,14
fare_260,5,15
fare_260,5,16
fare_260,5,17
fare_300,5,18
fare_300,5,19
fare_360,5,20
fare_360,5,21
fare_360,5,22
fare_360,5,23
fare_360,5,24
fare_340,5,25
fare_340,5,26
fare_340,5,27
fare_340,5,28
fare_340,5,29
fare_300,5,30
fare_300,5,31
fare_300,5,32
fare_300,5,33
fare_300,5,34
fare_260,5,35
fare_260,5,36
fare_260,6,1
fare_260,6,2
fare_260,6,3
fare_210,6,4
fare_210,6,5
fare_210,6,7
fare_210,6,8
fare_210,6,9
fare_260,6,10
fare_260,6,11
fare_260,6,12
fare_300,6,13
fare_260,6,14
fare_260,6,15
fare_260,6,16
fare_260,6,17
fare_260,6,18
fare_300,6,19
fare_360,6,20
fare_360,6,21
fare_360,6,22
fare_360,6,23
fare_340,6,24
fare_340,6,25
fare_340,6,26
fare_340,6,27
fare_340,6,28
fare_300,6,29
fare_300,6,30
fare_300,6,31
fare_300,6,32
fare_300,6,33
fare_260,6,34
fare_260,6,35
fare_260,6,36
fare_260,7,1
fare_260,7,2
fare_260,7,3
fare_260,7,4
fare_210,7,5
fare_210,7,6
fare_210,7,8
fare_210,7,9
fare_210,7,10
fare_260,7,11
fare_260,7,12
fare_260,7,13
fare_210,7,14
fare_210,7,15
fare_260,7,16
fare_260,7,17
fare_260,7,18
fare_260,7,19
fare_360,7,20
fare_360,7,21
fare_360,7,22
fare_340,7,23
fare_340,7,24
fare_340,7,25
fare_340,7,26
fare_340,7,27
fare_300,7,28
fare_300,7,29
fare_300,7,30
fare_300,7,31
fare_260,7,32
fare_260,7,33
fare_260,7,34
fare_260,7,35
fare_260,7,36
fare_300,8,1
fare_260,8,2
fare_260,8,3
fare_260,8,4
fare_210,8,5
fare_210,8,6
fare_210,8,7
fare_210,8,9
fare_210,8,10
fare_210,8,11
fare_260,8,12
fare_260,8,13
fare_210,8,14
fare_210,8,15
fare_210,8,16
fare_260,8,17
fare_260,8,18
fare_260,8,19
fare_360,8,20
fare_360,8,21
fare_340,8,22
fare_340,8,23
fare_340,8,24
fare_340,8,25
fare_340,8,26
fare_300,8,27
fare_300,8,28
fare_300,8,29
fare_300,8,30
fare_260,8,31
fare_260,8,32
fare_260,8,33
fare_260,8,34
fare_260,8,35
fare_260,8,36
fare_300,9,1
fare_260,9,2
fare_260,9,3
fare_260,9,4
fare_260,9,5
fare_210,9,6
fare_210,9,7
fare_210,9,8
fare_210,9,10
fare_210,9,11
fare_210,9,12
fare_260,9,13
fare_210,9,14
fare_210,9,15
fare_210,9,16
fare_210,9,17
fare_260,9,18
fare_260,9,19
fare_360,9,20
fare_340,9,21
fare_340,9,22
fare_340,9,23
fare_340,9,24
fare_300,9,25
fare_300,9,26
fare_300,9,27
fare_300,9,28
fare_300,9,29
fare_260,9,30
fare_260,9,31
fare_260,9,32
fare_260,9,33
fare_260,9,34
fare_260,9,35
fare_210,9,36
fare_300,10,1
fare_300,10,2
fare_260,10,3
fare_260,10,4
fare_260,10,5
fare_260,10,6
fare_210,10,7
fare_210,10,8
fare_210,10,9
fare_210,10,11
fare_210,10,12
fare_260,10,13
fare_210,10,14
fare_210,10,15
fare_260,10,16
fare_260,10,17
fare_260,10,18
fare_260,10,19
fare_340,10,20
fare_340,10,21
fare_340,10,22
fare_340,10,23
fare_300,10,24
fare_300,10,25
fare_300,10,26
fare_300,10,27
fare_300,10,28
fare_260,10,29
fare_260,10,30
fare_260,10,31
fare_260,10,32
fare_260,10,33
fare_210,10,34
fare_210,10,35
fare_210,10,36
fare_300,11,1
fare_300,11,2
fare_300,11,3
fare_260,11,4
fare_260,11,5
fare_260,11,6
fare_260,11,7
fare_210,11,8
fare_210,11,9
fare_210,11,10
fare_210,11,12
fare_260,11,13
fare_210,11,14
fare_210,11,15
fare_260,11,16
fare_260,11,17
fare_260,11,18
fare_260,11,19
fare_340,11,20
fare_340,11,21
fare_340,11,22
fare_300,11,23
fare_300,11,24
fare_300,11,25
fare_300,11,26
fare_300,11,27
fare_300,11,28
fare_260,11,29
fare_260,11,30
fare_260,11,31
fare_260,11,32
fare_210,11,33
fare_210,11,34
fare_210,11,35
fare_210,11,36
fare_300,12,1
fare_300,12,2
fare_300,12,3
fare_300,12,4
fare_260,12,5
fare_260,12,6
fare_260,12,7
fare_260,12,8
fare_210,12,9
fare_210,12,10
fare_210,12,11
fare_210,12,13
fare_260,12,14
fare_260,12,15
fare_260,12,16
fare_260,12,17
fare_260,12,18
fare_300,12,19
fare_340,12,20
fare_340,12,21
fare_340,12,22
fare_340,12,23
fare_340,12,24
fare_300,12,25
fare_300,12,26
fare_300,12,27
fare_300,12,28
fare_300,12,29
fare_260,12,30
fare_260,12,31
fare_260,12,32
fare_260,12,33
fare_260,12,34
fare_210,12,35
fare_210,12,36
fare_340,13,1
fare_340,13,2
fare_300,13,3
fare_300,13,4
fare_300,13,5
fare_300,13,6
fare_260,13,7
fare_260,13,8
fare_260,13,9
fare_260,13,10
fare_260,13,11
fare_210,13,12
fare_260,13,14
fare_260,13,15
fare_300,13,16
fare_300,13,17
fare_300,13,18
fare_300,13,19
fare_360,13,20
fare_360,13,21
fare_360,13,22
fare_340,13,23
fare_340,13,24
fare_340,13,25
fare_340,13,26
fare_340,13,27
fare_300,13,28
fare_300,13,29
fare_300,13,30
fare_300,13,31
fare_260,13,32
fare_260,13,33
fare_260,13,34
fare_260,13,35
fare_260,13,36
fare_300,14,1
fare_300,14,2
fare_260,14,3
fare_260,14,4
fare_260,14,5
fare_260,14,6
fare_210,14,7
fare_210,14,8
fare_210,14,9
fare_210,14,10
fare_210,14,11
fare_260,14,12
fare_260,14,13
fare_210,14,15
fare_210,14,16
fare_210,14,17
fare_260,14,18
fare_260,14,19
fare_360,14,20
fare_340,14,21
fare_340,14,22
fare_340,14,23
fare_340,14,24
fare_340,14,25
fare_300,14,26
fare_300,14,27
fare_300,14,28
fare_300,14,29
fare_300,14,30
fare_260,14,31
fare_260,14,32
fare_260,14,33
fare_260,14,34
fare_260,14,35
fare_210,14,36
fare_300,15,1
fare_300,15,2
fare_260,15,3
fare_260,15,4
fare_260,15,5
fare_260,15,6
fare_210,15,7
fare_210,15,8
fare_210,15,9
fare_210,15,10
fare_210,15,11
fare_260,15,12
fare_260,15,13
fare_210,15,14
fare_210,15,16
fare_210,15,17
fare_210,15,18
fare_260,15,19
fare_360,15,20
fare_360,15,21
fare_340,15,22
fare_340,15,23
fare_340,15,24
fare_340,15,25
fare_340,15,26
fare_300,15,27
fare_300,15,28
fare_300,15,29
fare_300,15,30
fare_300,15,31
fare_260,15,32
fare_260,15,33
fare_260,15,34
fare_260,15,35
fare_260,15,36
fare_300,16,1
fare_300,16,2
fare_300,16,3
fare_260,16,4
fare_260,16,5
fare_260,16,6
fare_260,16,7
fare_210,16,8
fare_210,16,9
fare_260,16,10
fare_260,16,11
fare_260,16,12
fare_300,16,13
fare_210,16,14
fare_210,16,15
fare_210,16,17
fare_210,16,18
fare_210,16,19
fare_360,16,20
fare_360,16,21
fare_360,16,22
fare_340,16,23
fare_340,16,24
fare_340,16,25
fare_340,16,26
fare_340,16,27
fare_300,16,28
fare_300,16,29
fare_300,16,30
fare_300,16,31
fare_300,16,32
fare_260,16,33
fare_260,16,34
fare_260,16,35
fare_260,16,36
fare_300,17,1
fare_300,17,2
fare_300,17,3
fare_300,17,4
fare_260,17,5
fare_260,17,6
fare_260,17,7
fare_260,17,8
fare_210,17,9
fare_260,17,10
fare_260,17,11
fare_260,17,12
fare_300,17,13
fare_210,17,14
fare_210,17,15
fare_210,17,16
fare_210,17,18
fare_210,17,19
fare_360,17,20
fare_360,17,21
fare_360,17,22
fare_360,17,23
fare_340,17,24
fare_340,17,25
fare_340,17,26
fare_340,17,27
fare_340,17,28
fare_300,17,29
fare_300,17,30
fare_300,17,31
fare_300,17,32
fare_300,17,33
fare_260,17,34
fare_260,17,35
fare_260,17,36
fare_340,18,1
fare_300,18,2
fare_300,18,3
fare_300,18,4
fare_300,18,5
fare_260,18,6
fare_260,18,7
fare_260,18,8
fare_260,18,9
fare_260,18,10
fare_260,18,11
fare_260,18,12
fare_300,18,13
fare_260,18,14
fare_210,18,15
fare_210,18,16
fare_210,18,17
fare_210,18,19
fare_360,18,20
fare_360,18,21
fare_360,18,22
fare_360,18,23
fare_360,18,24
fare_340,18,25
fare_340,18,26
fare_340,18,27
fare_340,18,28
fare_340,18,29
fare_300,18,30
fare_300,18,31
fare_300,18,32
fare_300,18,33
fare_300,18,34
fare_260,18,35
fare_260,18,36
fare_340,19,1
fare_340,19,2
fare_300,19,3
fare_300,19,4
fare_300,19,5
fare_300,19,6
fare_260,19,7
fare_260,19,8
fare_260,19,9
fare_260,19,10
fare_260,19,11
fare_300,19,12
fare_300,19,13
fare_260,19,14
fare_260,19,15
fare_210,19,16
fare_210,19,17
fare_210,19,18
fare_380,19,20
fare_360,19,21
fare_360,19,22
fare_360,19,23
fare_360,19,24
fare_360,19,25
fare_360,19,26
fare_340,19,27
fare_340,19,28
fare_340,19,29
fare_340,19,30
fare_300,19,31
fare_300,19,32
fare_300,19,33
fare_300,19,34
fare_300,19,35
fare_260,19,36
fare_380,20,1
fare_380,20,2
fare_380,20,3
fare_380,20,4
fare_360,20,5
fare_360,20,6
fare_360,20,7
fare_360,20,8
fare_360,20,9
fare_340,20,10
fare_340,20,11
fare_340,20,12
fare_360,20,13
fare_360,20,14
fare_360,20,15
fare_360,20,16
fare_360,20,17
fare_360,20,18
fare_380,20,19
fare_210,20,21
fare_210,20,22
fare_210,20,23
fare_260,20,24
fare_260,20,25
fare_260,20,26
fare_260,20,27
fare_260,20,28
fare_300,20,29
fare_300,20,30
fare_300,20,31
fare_300,20,32
fare_300,20,33
fare_340,20,34
fare_340,20,35
fare_340,20,36
fare_380,21,1
fare_380,21,2
fare_380,21,3
fare_360,21,4
fare_360,21,5
fare_360,21,6
fare_360,21,7
fare_360,21,8
fare_340,21,9
fare_340,21,10
fare_340,21,11
fare_340,21,12
fare_360,21,13
fare_340,21,14
fare_360,21,15
fare_360,21,16
fare_360,21,17
fare_360,21,18
fare_360,21,19
fare_210,21,20
fare_210,21,22
fare_210,21,23
fare_210,21,24
fare_260,21,25
fare_260,21,26
fare_260,21,27
fare_260,21,28
fare_260,21,29
fare_300,21,30
fare_300,21,31
fare_300,21,32
fare_300,21,33
fare_300,21,34
fare_300,21,35
fare_340,21,36
fare_380,22,1
fare_380,22,2
fare_380,22,3
fare_360,22,4
fare_360,22,5
fare_360,22,6
fare_360,22,7
fare_340,22,8
fare_340,22,9
fare_340,22,10
fare_340,22,11
fare_340,22,12
fare_360,22,13
fare_340,22,14
fare_340,22,15
fare_360,22,16
fare_360,22,17
fare_360,22,18
fare_360,22,19
fare_210,22,20
fare_210,22,21
fare_210,22,23
fare_210,22,24
fare_210,22,25
fare_260,22,26
fare_260,22,27
fare_260,22,28
fare_260,22,29
fare_260,22,30
fare_300,22,31
fare_300,22,32
fare_300,22,33
fare_300,22,34
fare_300,22,35
fare_340,22,36
fare_380,23,1
fare_380,23,2
fare_360,23,3
fare_360,23,4
fare_360,23,5
fare_360,23,6
fare_340,23,7
fare_340,23,8
fare_340,23,9
fare_340,23,10
fare_300,23,11
fare_340,23,12
fare_340,23,13
fare_340,23,14
fare_340,23,15
fare_340,23,16
fare_360,23,17
fare_360,23,18
fare_360,23,19
fare_210,23,20
fare_210,23,21
fare_210,23,22
fare_210,23,24
fare_210,23,25
fare_210,23,26
fare_260,23,27
fare_260,23,28
fare_260,23,29
fare_260,23,30
fare_260,23,31
fare_300,23,32
fare_300,23,33
fare_300,23,34
fare_300,23,35
fare_300,23,36
fare_380,24,1
fare_360,24,2
fare_360,24,3
fare_360,24,4
fare_360,24,5
fare_340,24,6
fare_340,24,7
fare_340,24,8
fare_340,24,9
fare_300,24,10
fare_300,24,11
fare_340,24,12
fare_340,24,13
fare_340,24,14
fare_340,24,15
fare_340,24,16
fare_340,24,17
fare_360,24,18
fare_360,24,19
fare_260,24,20
fare_210,24,21
fare_210,24,22
fare_210,24,23
fare_210,24,25
fare_210,24,26
fare_210,24,27
fare_260,24,28
fare_260,24,29
fare_260,24,30
fare_260,24,31
fare_260,24,32
fare_300,24,33
fare_300,24,34
fare_300,24,35
fare_300,24,36
fare_380,25,1
fare_360,25,2
fare_360,25,3
fare_360,25,4
fare_340,25,5
fare_340,25,6
fare_340,25,7
fare_340,25,8
fare_300,25,9
fare_300,25,10
fare_300,25,11
fare_300,25,12
fare_340,25,13
fare_340,25,14
fare_340,25,15
fare_340,25,16
fare_340,25,17
fare_340,25,18
fare_360,25,19
fare_260,25,20
fare_260,25,21
fare_210,25,22
fare_210,25,23
fare_210,25,24
fare_210,25,26
fare_210,25,27
fare_210,25,28
fare_260,25,29
fare_260,25,30
fare_260,25,31
fare_260,25,32
fare_260,25,33
fare_260,25,34
fare_300,25,35
fare_300,25,36
fare_360,26,1
fare_360,26,2
fare_360,26,3
fare_360,26,4
fare_340,26,5
fare_340,26,6
fare_340,26,7
fare_340,26,8
fare_300,26,9
fare_300,26,10
fare_300,26,11
fare_300,26,12
fare_340,26,13
fare_300,26,14
fare_340,26,15
fare_340,26,16
fare_340,26,17
fare_340,26,18
fare_360,26,19
fare_260,26,20
fare_260,26,21
fare_260,26,22
fare_210,26,23
fare_210,26,24
fare_210,26,25
fare_210,26,27
fare_210,26,28
fare_210,26,29
fare_260,26,30
fare_260,26,31
fare_260,26,32
fare_260,26,33
fare_260,26,34
fare_300,26,35
fare_300,26,36
fare_360,27,1
fare_360,27,2
fare_360,27,3
fare_340,27,4
fare_340,27,5
fare_340,27,6
fare_340,27,7
fare_300,27,8
fare_300,27,9
fare_300,27,10
fare_300,27,11
fare_300,27,12
fare_340,27,13
fare_300,27,14
fare_300,27,15
fare_340,27,16
fare_340,27,17
fare_340,27,18
fare_340,27,19
fare_260,27,20
fare_260,27,21
fare_260,27,22
fare_260,27,23
fare_210,27,24
fare_210,27,25
fare_210,27,26
fare_210,27,28
fare_210,27,29
fare_210,27,30
fare_260,27,31
fare_260,27,32
fare_260,27,33
fare_260,27,34
fare_260,27,35
fare_300,27,36
fare_360,28,1
fare_360,28,2
fare_340,28,3
fare_340,28,4
fare_340,28,5
fare_340,28,6
