stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1,K01,姪浜,33.583772,130.325038,1,https://subway.city.fukuoka.lg.jp/eki/stations/meinohama.php,1,,1
1_1,,姪浜,33.583772,130.325038,1,,0,1,1
1_2,,姪浜,33.583772,130.325038,1,,0,1,1
2,K02,室見,33.580947,130.340145,2,https://subway.city.fukuoka.lg.jp/eki/stations/muromi.php,1,,1
2_1,,室見,33.580947,130.340145,2,,0,2,1
2_2,,室見,33.580947,130.340145,2,,0,2,1
3,K03,藤崎,33.581376,130.348202,3,https://subway.city.fukuoka.lg.jp/eki/stations/fujisaki.php,1,,1
3_1,,藤崎,33.581376,130.348202,3,,0,3,1
3_2,,藤崎,33.581376,130.348202,3,,0,3,1
4,K04,西新,33.583726,130.359714,4,https://subway.city.fukuoka.lg.jp/eki/stations/nishijin.php,1,,1
4_1,,西新,33.583726,130.359714,4,,0,4,1
4_2,,西新,33.583726,130.359714,4,,0,4,1
5,K05,唐人町,33.590278,130.370443,5,https://subway.city.fukuoka.lg.jp/eki/stations/tojinmachi.php,1,,1
5_1,,唐人町,33.590278,130.370443,5,,0,5,1
5_2,,唐人町,33.590278,130.370443,5,,0,5,1
6,K06,大濠公園,33.590081,130.378844,6,https://subway.city.fukuoka.lg.jp/eki/stations/oohori.php,1,,1
6_1,,大濠公園,33.590081,130.378844,6,,0,6,1
6_2,,大濠公園,33.590081,130.378844,6,,0,6,1
7,K07,赤坂,33.589134,130.390946,7,https://subway.city.fukuoka.lg.jp/eki/stations/akasak.php,1,,1
7_1,,赤坂,33.589134,130.390946,7,,0,7,1
7_2,,赤坂,33.589134,130.390946,7,,0,7,1
8,K08,天神,33.591493,130.399379,8,https://subway.city.fukuoka.lg.jp/eki/stations/tenjin.php,1,,1
8_1,,天神,33.591493,130.399379,8,,0,8,1
8_2,,天神,33.591493,130.399379,8,,0,8,1
9,K09/H01,中洲川端,33.59438,130.405988,9,https://subway.city.fukuoka.lg.jp/eki/stations/nakasu.php,1,,1
9_1,,中洲川端,33.59438,130.405988,9,,0,9,1
9_2,,中洲川端,33.59438,130.405988,9,,0,9,1
9_3,,中洲川端,33.59438,130.405988,9,,0,9,1
9_4,,中洲川端,33.59438,130.405988,9,,0,9,1
10,K10,祇園,33.594156,130.414656,10,https://subway.city.fukuoka.lg.jp/eki/stations/gion.php,1,,1
10_1,,祇園,33.594156,130.414656,10,,0,10,1
10_2,,祇園,33.594156,130.414656,10,,0,10,1
11,K11/N18,博多,33.59013,130.420616,11,https://subway.city.fukuoka.lg.jp/eki/stations/hakata.php,1,,1
11_1,,博多,33.59013,130.420616,11,,0,11,1
11_2,,博多,33.59013,130.420616,11,,0,11,1
12,K12,東比恵,33.589956,130.431265,12,https://subway.city.fukuoka.lg.jp/eki/stations/higashihie.php,1,,1
12_1,,東比恵,33.589956,130.431265,12,,0,12,1
12_2,,東比恵,33.589956,130.431265,12,,0,12,1
13,K13,福岡空港,33.597052,130.448549,13,https://subway.city.fukuoka.lg.jp/eki/stations/kuko.php,1,,1
13_1,,福岡空港,33.597052,130.448549,13,,0,13,1
13_2,,福岡空港,33.597052,130.448549,13,,0,13,1
14,H02,呉服町,33.598294,130.409882,14,https://subway.city.fukuoka.lg.jp/eki/stations/gofuku.php,1,,1
14_1,,呉服町,33.598294,130.409882,14,,0,14,1
14_2,,呉服町,33.598294,130.409882,14,,0,14,1
15,H03,千代県庁口,33.602548,130.414324,15,https://subway.city.fukuoka.lg.jp/eki/stations/tiyo.php,1,,1
15_1,,千代県庁口,33.602548,130.414324,15,,0,15,1
15_2,,千代県庁口,33.602548,130.414324,15,,0,15,1
16,H04,馬出九大病院前,33.609357,130.419388,16,https://subway.city.fukuoka.lg.jp/eki/stations/maidashi.php,1,,1
16_1,,馬出九大病院前,33.609357,130.419388,16,,0,16,1
16_2,,馬出九大病院前,33.609357,130.419388,16,,0,16,1
17,H05,箱崎宮前,33.61579,130.419677,17,https://subway.city.fukuoka.lg.jp/eki/stations/hakozakimiya.php,1,,1
17_1,,箱崎宮前,33.61579,130.419677,17,,0,17,1
17_2,,箱崎宮前,33.61579,130.419677,17,,0,17,1
18,H06,箱崎九大前,33.622178,130.421019,18,https://subway.city.fukuoka.lg.jp/eki/stations/hakozakikyudai.php,1,,1
18_1,,箱崎九大前,33.622178,130.421019,18,,0,18,1
18_2,,箱崎九大前,33.622178,130.421019,18,,0,18,1
19,H07,貝塚,33.632683,130.425578,19,https://subway.city.fukuoka.lg.jp/eki/stations/kaizuka.php,1,,1
19_1,,貝塚,33.632683,130.425578,19,,0,19,1
19_2,,貝塚,33.632683,130.425578,19,,0,19,1
20,N01,橋本,33.555156,130.321122,20,https://subway.city.fukuoka.lg.jp/eki/stations/hashimoto.php,1,,1
20_1,,橋本,33.555156,130.321122,20,,0,20,1
20_2,,橋本,33.555156,130.321122,20,,0,20,1
21,N02,次郎丸,33.552724,130.329534,21,https://subway.city.fukuoka.lg.jp/eki/stations/jiromaru.php,1,,1
21_1,,次郎丸,33.552724,130.329534,21,,0,21,1
21_2,,次郎丸,33.552724,130.329534,21,,0,21,1
22,N03,賀茂,33.550533,130.337913,22,https://subway.city.fukuoka.lg.jp/eki/stations/kamo.php,1,,1
22_1,,賀茂,33.550533,130.337913,22,,0,22,1
22_2,,賀茂,33.550533,130.337913,22,,0,22,1
23,N04,野芥,33.548334,130.346571,23,https://subway.city.fukuoka.lg.jp/eki/stations/noke.php,1,,1
23_1,,野芥,33.548334,130.346571,23,,0,23,1
23_2,,野芥,33.548334,130.346571,23,,0,23,1
24,N05,梅林,33.545839,130.354993,24,https://subway.city.fukuoka.lg.jp/eki/stations/ume.php,1,,1
24_1,,梅林,33.545839,130.354993,24,,0,24,1
24_2,,梅林,33.545839,130.354993,24,,0,24,1
25,N06,福大前,33.547511,130.362225,25,https://subway.city.fukuoka.lg.jp/eki/stations/fukudai.php,1,,1
25_1,,福大前,33.547511,130.362225,25,,0,25,1
25_2,,福大前,33.547511,130.362225,25,,0,25,1
26,N07,七隈,33.553207,130.361667,26,https://subway.city.fukuoka.lg.jp/eki/stations/nanakuma.php,1,,1
26_1,,七隈,33.553207,130.361667,26,,0,26,1
26_2,,七隈,33.553207,130.361667,26,,0,26,1
27,N08,金山,33.559331,130.361538,27,https://subway.city.fukuoka.lg.jp/eki/stations/kanayama.php,1,,1
27_1,,金山,33.559331,130.361538,27,,0,27,1
27_2,,金山,33.559331,130.361538,27,,0,27,1
28,N09,茶山,33.566099,130.3654,28,https://subway.city.fukuoka.lg.jp/eki/stations/chayama.php,1,,1
28_1,,茶山,33.566099,130.3654,28,,0,28,1
28_2,,茶山,33.566099,130.3654,28,,0,28,1
29,N10,別府,33.574207,130.369638,29,https://subway.city.fukuoka.lg.jp/eki/stations/befu.php,1,,1
29_1,,別府,33.574207,130.369638,29,,0,29,1
29_2,,別府,33.574207,130.369638,29,,0,29,1
30,N11,六本松,33.577693,130.377331,30,https://subway.city.fukuoka.lg.jp/eki/stations/roppon.php,1,,1
30_1,,六本松,33.577693,130.377331,30,,0,30,1
30_2,,六本松,33.577693,130.377331,30,,0,30,1
31,N12,桜坂,33.577326,130.386858,31,https://subway.city.fukuoka.lg.jp/eki/stations/sakurazaka.php,1,,1
31_1,,桜坂,33.577326,130.386858,31,,0,31,1
31_2,,桜坂,33.577326,130.386858,31,,0,31,1
32,N13,薬院大通,33.580392,130.396203,32,https://subway.city.fukuoka.lg.jp/eki/stations/yakuinoo.php,1,,1
32_1,,薬院大通,33.580392,130.396203,32,,0,32,1
32_2,,薬院大通,33.580392,130.396203,32,,0,32,1
33,N14,薬院,33.581805,130.401825,33,https://subway.city.fukuoka.lg.jp/eki/stations/yakuin.php,1,,1
33_1,,薬院,33.581805,130.401825,33,,0,33,1
33_2,,薬院,33.581805,130.401825,33,,0,33,1
34,N15,渡辺通,33.583968,130.404947,34,https://subway.city.fukuoka.lg.jp/eki/stations/watanabe.php,1,,1
34_1,,渡辺通,33.583968,130.404947,34,,0,34,1
34_2,,渡辺通,33.583968,130.404947,34,,0,34,1
35,N16,天神南,33.58824,130.401717,35,https://subway.city.fukuoka.lg.jp/eki/stations/tenjinminami.php,1,,1
35_1,,天神南,33.58824,130.401717,35,,0,35,1
35_2,,天神南,33.58824,130.401717,35,,0,35,1
36,N17,櫛田神社前,33.591333,130.411583,36,,1,,1
36_1,,櫛田神社前,33.591333,130.411583,36,,0,36,1
36_2,,櫛田神社前,33.591333,130.411583,36,,0,36,1
37,N18,博多,33.589616,130.418599,11,,1,,1
37_3,,博多,33.589616,130.418599,11,,0,37,1
37_4,,博多,33.589616,130.418599,11,,0,37,1
1_e1,,姪浜北出口,33.584142,130.324858,,,2,1,0
1_e2,,姪浜南出口,33.583132,130.324948,,,2,1,0
1_e3,,姪浜えきマチ一丁目口,33.583497,130.324468,,,2,1,0
2_e1,,室見1番出口,33.581317,130.339965,,,2,2,0
2_e2,,室見2番出口,33.581132,130.340625,,,2,2,0
2_e3,,室見3番出口,33.580672,130.340715,,,2,2,0
2_e4,,室見4番出口,33.580487,130.340235,,,2,2,0
2_e5,,室見5番出口,33.580852,130.339755,,,2,2,0
2_e6,,室見6番出口,33.581042,130.339395,,,2,2,0
3_e1,,藤崎1番出口,33.581746,130.348022,,,2,3,0
3_e2,,藤崎2番出口,33.581456,130.348738,,,2,3,0
3_e3,,藤崎3番出口,33.580931,130.348589,,,2,3,0
3_e4,,藤崎4番出口,33.581021,130.347905,,,2,3,0
3_e5,,藤崎5番出口,33.581726,130.347756,,,2,3,0
4_e1,,西新1番出口,33.584096,130.359534,,,2,4,0
4_e2,,西新2番出口,33.584057,130.360047,,,2,4,0
4_e3,,西新3番出口,33.583822,130.360362,,,2,4,0
4_e4,,西新4番出口,33.583541,130.360374,,,2,4,0
4_e5,,西新5番出口,33.583389,130.360119,,,2,4,0
4_e6,,西新6番出口,33.583029,130.359309,,,2,4,0
4_e7,,西新7番出口,33.583361,130.359054,,,2,4,0
4_e8,,西新8番出口,33.583822,130.359066,,,2,4,0
4_e9,,西新9番出口,33.584237,130.359381,,,2,4,0
5_e1,,唐人町1番出口,33.590648,130.370263,,,2,5,0
5_e2,,唐人町2番出口,33.590531,130.370867,,,2,5,0
5_e3,,唐人町3番出口,33.590156,130.371084,,,2,5,0
5_e4,,唐人町4番出口,33.589872,130.370818,,,2,5,0
5_e5,,唐人町5番出口,33.589962,130.370338,,,2,5,0
5_e6,,唐人町6番出口,33.589976,130.369622,,,2,5,0
5_e7,,唐人町7番出口,33.590531,130.369839,,,2,5,0
6_e1,,大濠公園1番出口,33.590451,130.378664,,,2,6,0
6_e2,,大濠公園2番出口,33.590266,130.379324,,,2,6,0
6_e3,,大濠公園3番出口,33.589806,130.379414,,,2,6,0
6_e4,,大濠公園4番出口,33.589621,130.378934,,,2,6,0
6_e5,,大濠公園5番出口,33.589986,130.378454,,,2,6,0
6_e6,,大濠公園6番出口,33.590176,130.378094,,,2,6,0
7_e1,,赤坂1番出口,33.589504,130.390766,,,2,7,0
7_e2,,赤坂2番出口,33.589319,130.391426,,,2,7,0
