table_name,field_name,language,field_value,translation
stops,stop_name,ja-Hrkt,姪浜,めいのはま
stops,stop_name,en,姪浜,Meinohama
stops,stop_name,ja-Hrkt,室見,むろみ
stops,stop_name,en,室見,Muromi
stops,stop_name,ja-Hrkt,藤崎,ふじさき
stops,stop_name,en,藤崎,Fujisaki
stops,stop_name,ja-Hrkt,西新,にしじん
stops,stop_name,en,西新,Nishijin
stops,stop_name,ja-Hrkt,唐人町,とうじんまち
stops,stop_name,en,唐人町,Tojinmachi
stops,stop_name,ja-Hrkt,大濠公園,おおほりこうえん
stops,stop_name,en,大濠公園,Ohorikoen(OhoriPark)
stops,stop_name,ja-Hrkt,赤坂,あかさか
stops,stop_name,en,赤坂,Akasaka
stops,stop_name,ja-Hrkt,天神,てんじん
stops,stop_name,en,天神,Tenjin
stops,stop_name,ja-Hrkt,中洲川端,なかすかわばた
stops,stop_name,en,中洲川端,Nakasu-Kawabata
stops,stop_name,ja-Hrkt,祇園,ぎおん
stops,stop_name,en,祇園,Gion
stops,stop_name,ja-Hrkt,博多,はかた
stops,stop_name,en,博多,Hakata
stops,stop_name,ja-Hrkt,東比恵,ひがしひえ
stops,stop_name,en,東比恵,Higashi-Hie
stops,stop_name,ja-Hrkt,福岡空港,ふくおかくうこう
stops,stop_name,en,福岡空港,Fukuoka Airport
stops,stop_name,ja-Hrkt,呉服町,ごふくまち
stops,stop_name,en,呉服町,Gofukumachi
stops,stop_name,ja-Hrkt,千代県庁口,ちよけんちょうぐち
stops,stop_name,en,千代県庁口,Chiyo-Kenchoguchi
stops,stop_name,ja-Hrkt,馬出九大病院前,まいだしきゅうだいびょういんまえ
stops,stop_name,en,馬出九大病院前,Maidashi-Kyudaibyoinmae
stops,stop_name,ja-Hrkt,箱崎宮前,はこざきみやまえ
stops,stop_name,en,箱崎宮前,Hakozaki-Miyamae
stops,stop_name,ja-Hrkt,箱崎九大前,はこざききゅうだいまえ
stops,stop_name,en,箱崎九大前,Hakozaki-Kyudaimae
stops,stop_name,ja-Hrkt,貝塚,かいづか
stops,stop_name,en,貝塚,Kaizuka
stops,stop_name,ja-Hrkt,橋本,はしもと
stops,stop_name,en,橋本,Hashimoto
stops,stop_name,ja-Hrkt,次郎丸,じろうまる
stops,stop_name,en,次郎丸,Jiromaru
stops,stop_name,ja-Hrkt,賀茂,かも
stops,stop_name,en,賀茂,Kamo
stops,stop_name,ja-Hrkt,野芥,のけ
stops,stop_name,en,野芥,Noke
stops,stop_name,ja-Hrkt,梅林,うめばやし
stops,stop_name,en,梅林,Umebayashi
stops,stop_name,ja-Hrkt,福大前,ふくだいまえ
stops,stop_name,en,福大前,Fukudai-mae
stops,stop_name,ja-Hrkt,七隈,ななくま
stops,stop_name,en,七隈,Nanakuma
stops,stop_name,ja-Hrkt,金山,かなやま
stops,stop_name,en,金山,Kanayama
stops,stop_name,ja-Hrkt,茶山,ちゃやま
stops,stop_name,en,茶山,Chayama
stops,stop_name,ja-Hrkt,別府,べふ
stops,stop_name,en,別府,Befu
stops,stop_name,ja-Hrkt,六本松,ろっぽんまつ
stops,stop_name,en,六本松,Ropponmatsu
stops,stop_name,ja-Hrkt,桜坂,さくらざか
stops,stop_name,en,桜坂,Sakurazaka
stops,stop_name,ja-Hrkt,薬院大通,やくいんおおどおり
stops,stop_name,en,薬院大通,Yakuin-odori
stops,stop_name,ja-Hrkt,薬院,やくいん
stops,stop_name,en,薬院,Yakuin
stops,stop_name,ja-Hrkt,渡辺通,わたなべどおり
stops,stop_name,en,渡辺通,Watanabe-dori
stops,stop_name,ja-Hrkt,天神南,てんじんみなみ
stops,stop_name,en,天神南,Tenjin-minami
routes,route_short_name,ja-Hrkt,空港線,くうこうせん
routes,route_short_name,en,空港線,Kuko Line
routes,route_short_name,ja-Hrkt,箱崎線,はこざきせん
routes,route_short_name,en,箱崎線,Hakozaki Line
routes,route_short_name,ja-Hrkt,七隈線,ななくません
routes,route_short_name,en,七隈線,Nanakuma Line
stops,stop_name,ja-Hrkt,櫛田神社前,くしだじんじゃまえ
stops,stop_name,en,櫛田神社前,Kushida Shrine
